soc_code,pct_tasks_automation,pct_tasks_augmentation,diff_extensive,mean_automation,mean_augmentation,diff_intensive,occupation,two_digit_soc_code,total_employment,median_wage,educationcode,degfield_1,degree_share_1,degfield_2,degree_share_2,degfield_3,degree_share_3,related_soc_code_1,relatedness_score_1,related_soc_code_2,relatedness_score_2,related_soc_code_3,relatedness_score_3,ranking
"25-1071",.5,.3888889,.1111111,34.68891,29.5968,5.09211,"Health Specialties Teachers, Postsecondary","Educational Instruction and Library",229720,105620,"Doctoral or professional degree","education administration and teaching",.1008699,"biology and life sciences",.0907628,"social sciences",.0870403,"25-1072",2.924005,"25-1193",2.73703,"25-1042",2.523654,7
"25-1072",.3478261,.2608696,.0869565,24.86707,17.23819,7.628883,"Nursing Instructors and Teachers, Postsecondary","Educational Instruction and Library",74250,79940,"Doctoral or professional degree","education administration and teaching",.1008699,"biology and life sciences",.0907628,"social sciences",.0870403,"25-1071",2.924005,"21-1091",2.63397,"29-1141",2.468357,11
"25-1081",.5789474,.5263158,.0526316,36.59995,41.97148,-5.371532,"Education Teachers, Postsecondary","Educational Instruction and Library",59090,72090,"Doctoral or professional degree","education administration and teaching",.1008699,"biology and life sciences",.0907628,"social sciences",.0870403,"25-2052",3.059964,"25-9031",2.885279,"25-9045",2.884233,3
"25-1082",.5263158,.5263158,0,32.61819,40.71515,-8.096958,"Library Science Teachers, Postsecondary","Educational Instruction and Library",4100,78630,"Doctoral or professional degree","education administration and teaching",.1008699,"biology and life sciences",.0907628,"social sciences",.0870403,"25-1081",2.685915,"25-9031",2.431906,"25-1067",2.421975,5
"25-1111",.5294118,.4705882,.0588236,36.17647,33.0543,3.122166,"Criminal Justice and Law Enforcement Teachers, Postsecondary","Educational Instruction and Library",13560,71470,"Doctoral or professional degree","education administration and teaching",.1008699,"biology and life sciences",.0907628,"social sciences",.0870403,"25-1112",2.828039,"25-1067",2.278536,"25-1065",2.275082,5
"25-1112",.6111111,.5,.1111111,40.74367,32.58966,8.154011,"Law Teachers, Postsecondary","Educational Instruction and Library",22800,126650,"Doctoral or professional degree","education administration and teaching",.1008699,"biology and life sciences",.0907628,"social sciences",.0870403,"25-1111",2.828039,"25-1065",2.743802,"25-1067",2.478453,2
"25-1113",.5714286,.4761905,.0952381,34.80951,35.77872,-.9692154,"Social Work Teachers, Postsecondary","Educational Instruction and Library",13350,76210,"Doctoral or professional degree","education administration and teaching",.1008699,"biology and life sciences",.0907628,"social sciences",.0870403,"25-1067",2.836075,"25-1081",2.698495,"25-1066",2.577346,4
"25-1121",.45,.35,.1,29.21542,23.72576,5.48966,"Art, Drama, and Music Teachers, Postsecondary","Educational Instruction and Library",97890,80190,"Masters degree","education administration and teaching",.1008699,"biology and life sciences",.0907628,"social sciences",.0870403,"25-2031",2.667859,"25-3021",2.573994,"25-2022",2.521409,8
"25-1122",.6111111,.5,.1111111,37.37482,31.37518,5.999636,"Communications Teachers, Postsecondary","Educational Instruction and Library",29260,77800,"Doctoral or professional degree","education administration and teaching",.1008699,"biology and life sciences",.0907628,"social sciences",.0870403,"25-1067",2.514716,"25-1081",2.461435,"25-1065",2.311252,2
"25-1123",.5555556,.5555556,0,27.30441,39.36225,-12.05784,"English Language and Literature Teachers, Postsecondary","Educational Instruction and Library",59590,78270,"Doctoral or professional degree","education administration and teaching",.1008699,"biology and life sciences",.0907628,"social sciences",.0870403,"25-2031",2.725473,"25-2022",2.702225,"25-1062",2.674184,4
"25-1124",.5789474,.5263158,.0526316,33.57688,35.17312,-1.596237,"Foreign Language and Literature Teachers, Postsecondary","Educational Instruction and Library",21170,77010,"Doctoral or professional degree","education administration and teaching",.1008699,"biology and life sciences",.0907628,"social sciences",.0870403,"25-1123",2.611169,"25-1062",2.494633,"25-3011",2.108991,3
"25-1125",.6111111,.5555556,.0555555,35.5219,37.81143,-2.289524,"History Teachers, Postsecondary","Educational Instruction and Library",19860,81500,"Doctoral or professional degree","education administration and teaching",.1008699,"biology and life sciences",.0907628,"social sciences",.0870403,"25-1062",2.925598,"25-1061",2.674645,"25-1067",2.61114,2
"25-1126",.6666667,.5555556,.1111111,41.12664,38.87336,2.253273,"Philosophy and Religion Teachers, Postsecondary","Educational Instruction and Library",20840,78050,"Doctoral or professional degree","education administration and teaching",.1008699,"biology and life sciences",.0907628,"social sciences",.0870403,"25-1067",2.807374,"25-1062",2.636092,"25-1125",2.532195,1
"25-1192",.5882353,.4705882,.1176471,42.4299,28.99867,13.43123,"Family and Consumer Sciences Teachers, Postsecondary","Educational Instruction and Library",2630,77280,"Doctoral or professional degree","education administration and teaching",.1008699,"biology and life sciences",.0907628,"social sciences",.0870403,"25-1193",2.582235,"25-1081",2.571952,"25-2023",2.472,3
"25-1193",.6,.6,0,32.53399,42.466,-9.932011,"Recreation and Fitness Studies Teachers, Postsecondary","Educational Instruction and Library",12680,75890,"Doctoral or professional degree","education administration and teaching",.1008699,"biology and life sciences",.0907628,"social sciences",.0870403,"25-1071",2.73703,"25-1192",2.582235,"25-1081",2.430839,2
"25-1194",.4375,.4375,0,21.01841,25.64826,-4.629854,"Career/Technical Education Teachers, Postsecondary","Educational Instruction and Library",111150,61490,"Bachelors degree","education administration and teaching",.1008699,"biology and life sciences",.0907628,"social sciences",.0870403,"25-2032",3.554458,"25-2023",2.996716,"25-9045",2.657259,9
"25-2011",.1724138,.137931,.0344828,12.0309,10.19133,1.839568,"Preschool Teachers, Except Special Education","Educational Instruction and Library",445080,37120,"Associates degree","education administration and teaching",.4943578,"business",.0705755,"psychology",.0678983,"25-2012",3.11124,"25-2052",2.85851,"11-9031",2.699473,25
"25-2012",.1470588,.0882353,.0588235,10.9318,7.8182,3.1136,"Kindergarten Teachers, Except Special Education","Educational Instruction and Library",114410,61430,"Bachelors degree","education administration and teaching",.4943578,"business",.0705755,"psychology",.0678983,"25-2021",3.324765,"25-2052",3.270063,"25-2011",3.11124,27
"25-2021",.25,.2222222,.0277778,16.57507,14.67493,1.900146,"Elementary School Teachers, Except Special Education","Educational Instruction and Library",1393310,62340,"Bachelors degree","education administration and teaching",.5465863,"business",.0642828,"psychology",.0419949,"25-2022",3.663649,"25-2031",3.64455,"25-2012",3.324765,17
"25-2022",.2727273,.2727273,0,15.09734,18.236,-3.138662,"Middle School Teachers, Except Special and Career/Technical Education","Educational Instruction and Library",620370,62970,"Bachelors degree","education administration and teaching",.5465863,"business",.0642828,"psychology",.0419949,"25-2031",3.863688,"25-2021",3.663649,"25-3041",3.310911,16
"25-2023",.1935484,.1612903,.0322581,11.63537,10.58685,1.048522,"Career/Technical Education Teachers, Middle School","Educational Instruction and Library",14200,63620,"Bachelors degree","education administration and teaching",.5465863,"business",.0642827,"psychology",.0419949,"25-2032",3.301226,"25-2022",3.109733,"25-2031",3.103268,22
"25-2031",.2903226,.2258064,.0645161,17.24381,14.89905,2.344759,"Secondary School Teachers, Except Special and Career/Technical Education","Educational Instruction and Library",1072540,64580,"Bachelors degree","education administration and teaching",.3998672,"business",.0701599,"english language, literature, and composition",.0580176,"25-2022",3.863688,"25-2021",3.64455,"25-3041",3.36201,14
"25-2032",.1818182,.1515152,.030303,10.07156,10.61809,-.5465317,"Career/Technical Education Teachers, Secondary School","Educational Instruction and Library",104450,63910,"Bachelors degree","education administration and teaching",.3998672,"business",.0701599,"english language, literature, and composition",.0580176,"25-1194",3.554458,"25-2023",3.301226,"25-2031",2.528079,24
"25-2051",.0833333,.0555556,.0277778,6.614923,2.208606,4.406318,"Special Education Teachers, Preschool","Educational Instruction and Library",28200,62190,"Bachelors degree","education administration and teaching",.5535165,"psychology",.0741862,"business",.0572468,"25-2052",4.353376,"25-2057",3.452763,"25-2058",3.367274,38
"25-2052",.0810811,.0540541,.027027,6.881951,2.208958,4.672993,"Special Education Teachers, Kindergarten and Elementary School","Educational Instruction and Library",231570,63000,"Bachelors degree","education administration and teaching",.5535165,"psychology",.0741862,"business",.0572468,"25-2052",4.666523,"25-2058",4.4775,"25-2057",4.444335,38
"25-2059",.0526316,.0526316,0,2.545298,2.71786,-.1725628,"Special Education Teachers, All Other","Educational Instruction and Library",39350,67430,"Bachelors degree","education administration and teaching",.5535165,"psychology",.0741862,"business",.0572468,"25-2052",3.192571,"25-2058",2.589269,"25-2051",2.541274,46
"25-3011",.2333333,.2333333,0,11.23033,20.76967,-9.539345,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Educational Instruction and Library",36260,59950,"Bachelors degree",,,,,,,"25-2052",3.375921,"25-3041",3.2967,"25-2022",3.2909,19
"25-3021",.4615385,.5384616,-.0769231,21.05239,37.28095,-16.22856,"Self-Enrichment Teachers","Educational Instruction and Library",308520,45590,"HS diploma or equivalent",,,,,,,"25-2031",3.030385,"25-2022",2.878889,"25-2021",2.841245,8
"25-3099",.4,.3333333,.0666667,20.6295,19.3705,1.258997,"Teachers and Instructors, All Other","Educational Instruction and Library",125010,64690,"Bachelors degree","education administration and teaching",.2312959,"fine arts",.1419948,"business",.1072447,"",,"",,"",,10
"25-4011",.2307692,.1538462,.0769231,17.49975,7.500247,9.999504,"Archivists","Educational Instruction and Library",7050,61570,"Masters degree","fine arts",.2213701,"history",.1370864,"social sciences",.0932246,"19-3093",2.470963,"25-4022",2.384711,"25-4012",2.252015,19
"25-4012",.3636364,.3636364,0,17.70638,18.65726,-.9508877,"Curators","Educational Instruction and Library",12280,61770,"Masters degree","fine arts",.2213701,"history",.1370864,"social sciences",.0932247,"25-4011",2.252015,"19-3093",2.064276,"25-4013",1.729185,11
"25-4013",.0909091,.0909091,0,6.871036,2.219873,4.651163,"Museum Technicians and Conservators","Educational Instruction and Library",13070,47460,"Bachelors degree","fine arts",.2213701,"history",.1370864,"social sciences",.0932247,"25-4012",1.729185,"27-1027",1.651652,"25-4011",1.571206,36
"25-4031",.1,.1,0,4.888889,5.111111,-.2222223,"Library Technicians","Educational Instruction and Library",73770,39970,"Postsecondary nondegree award","education administration and teaching",.1319352,"english language, literature, and composition",.110556,"business",.1027131,"43-4121",3.148071,"25-4022",2.773422,"25-1082",2.34577,34
"25-9021",.2307692,.1538462,.0769231,22.5,13.86364,8.636364,"Farm and Home Management Educators","Educational Instruction and Library",10260,58120,"Masters degree",,,,,,,"25-1041",2.03859,"13-1111",1.877069,"25-1194",1.753194,19
"25-9031",.4811594,.4275362,.0536232,35.58797,30.86503,4.722938,"Instructional Coordinators","Educational Instruction and Library",210850,74720,"Masters degree",,,,,,,"25-9045",3.155739,"13-1151",3.044399,"11-3131",3.025954,7
"27-1011",.2307692,.1538462,.0769231,16.29437,6.782553,9.511818,"Art Directors","Arts, Design, Entertainment, Sports, and Media",50370,111040,"Bachelors degree","fine arts",.4855723,"communications",.0712547,"business",.0701945,"27-1024",2.7348,"27-1014",2.378178,"13-1082",2.118235,19
"27-1012",.2142857,.1428571,.0714286,14.57905,6.849524,7.729523,"Craft Artists","Arts, Design, Entertainment, Sports, and Media",4370,38480,"No formal education","fine arts",.4855723,"communications",.0712547,"business",.0701945,"27-1021",2.481096,"27-1013",2.424422,"51-9194",2.328107,21
"27-1013",.4444444,.4444444,0,27.33351,22.66649,4.667013,"Fine Artists, Including Painters, Sculptors, and Illustrators","Arts, Design, Entertainment, Sports, and Media",10000,60560,"Bachelors degree","fine arts",.4855723,"communications",.0712547,"business",.0701945,"27-1014",2.658248,"27-1024",2.436887,"27-1012",2.424422,9
"27-1014",.4285714,.2857143,.1428571,29.11479,13.74235,15.37244,"Special Effects Artists and Animators","Arts, Design, Entertainment, Sports, and Media",21280,99800,"Bachelors degree","fine arts",.4855723,"communications",.0712547,"business",.0701945,"27-1024",2.944684,"27-1013",2.658248,"27-1011",2.378178,9
"27-1021",0,0,0,0,0,0,"Commercial and Industrial Designers","Arts, Design, Entertainment, Sports, and Media",30250,79450,"Bachelors degree","fine arts",.5077674,"engineering",.0977216,"business",.0926173,"17-3013",2.731061,"51-4061",2.623889,"27-1022",2.588552,100
"27-1022",.1666667,0,.1666667,16.66667,0,16.66667,"Fashion Designers","Arts, Design, Entertainment, Sports, and Media",20910,80690,"Bachelors degree","fine arts",.4741635,"business",.1547061,"social sciences",.0531973,"51-6092",2.700072,"27-1021",2.588552,"51-6052",2.323072,26
"27-1023",0,.0714286,-.0714286,0,7.142857,-7.142857,"Floral Designers","Arts, Design, Entertainment, Sports, and Media",40160,36120,"HS diploma or equivalent","fine arts",.1890536,"business",.1692676,"education administration and teaching",.1099097,"27-1022",1.78235,"27-1012",1.698489,"51-6051",1.659291,100
"27-1024",.3076923,.3076923,0,22.71728,18.94939,3.767885,"Graphic Designers","Arts, Design, Entertainment, Sports, and Media",214260,61300,"Bachelors degree","fine arts",.5727672,"communications",.0850542,"business",.0706909,"27-1014",2.944684,"27-1011",2.7348,"27-1013",2.436887,13
"27-1025",.2,.1,.1,16.24396,5.978261,10.2657,"Interior Designers","Arts, Design, Entertainment, Sports, and Media",69580,63490,"Bachelors degree","fine arts",.4890599,"business",.109056,"architecture",.0752384,"17-1011",2.566224,"27-1021",2.249104,"17-1012",2.109405,22
"27-1026",0,0,0,0,0,0,"Merchandise Displayers and Window Trimmers","Arts, Design, Entertainment, Sports, and Media",192480,37350,"HS diploma or equivalent","business",.2675685,"fine arts",.2221371,"social sciences",.06049,"41-2031",2.082427,"27-1022",1.971725,"41-3011",1.834984,100
"27-1027",.08,.08,0,4.416618,3.916715,.4999034,"Set and Exhibit Designers","Arts, Design, Entertainment, Sports, and Media",10850,66280,"Bachelors degree",,,,,,,"27-1025",2.080674,"27-1013",2.054451,"27-1024",2.015446,39
"27-2011",.0909091,.0909091,0,7.672819,3.438292,4.234528,"Actors","Arts, Design, Entertainment, Sports, and Media",38800,,"Some college, no degree","fine arts",.3722016,"business",.1021127,"communications",.1017189,"27-2042",2.114006,"27-2032",2.072819,"27-2041",1.869321,36
"27-2012",.1069444,.0722222,.0347222,6.938828,4.311172,2.627656,"Producers and Directors","Arts, Design, Entertainment, Sports, and Media",145270,83480,"Bachelors degree","communications",.2833598,"fine arts",.221673,"business",.0925438,"27-1011",1.787952,"27-4032",1.730906,"27-3011",1.681206,32
"27-2021",0,0,0,0,0,0,"Athletes and Sports Competitors","Arts, Design, Entertainment, Sports, and Media",14370,62360,"No formal education","business",.2797364,"physical fitness, parks, recreation, and leisure",.1103086,"communications",.0816798,"27-2022",2.238675,"27-2023",2.121001,"39-9031",1.228691,100
"27-2022",.1428571,.1428571,0,8.854625,12.19801,-3.343382,"Coaches and Scouts","Arts, Design, Entertainment, Sports, and Media",250940,45920,"Bachelors degree","business",.1727754,"education administration and teaching",.1568713,"physical fitness, parks, recreation, and leisure",.1135284,"27-2023",2.241711,"27-2021",2.238675,"39-9031",2.196162,28
"27-2023",0,0,0,0,0,0,"Umpires, Referees, and Other Sports Officials","Arts, Design, Entertainment, Sports, and Media",15080,38820,"HS diploma or equivalent","business",.2054678,"education administration and teaching",.1759531,"social sciences",.0823952,"27-2022",2.241711,"27-2021",2.121001,"29-9091",1.322133,100
"27-2031",0,0,0,0,0,0,"Dancers","Arts, Design, Entertainment, Sports, and Media",9060,,"No formal education","fine arts",.4475807,"psychology",.0961238,"business",.0958637,"27-2032",2.841524,"27-2042",1.796241,"27-2011",1.610209,100
"27-2032",.0588235,.0588235,0,2.898551,3.351449,-.4528985,"Choreographers","Arts, Design, Entertainment, Sports, and Media",3430,55600,"HS diploma or equivalent","fine arts",.4475807,"psychology",.0961238,"business",.0958637,"27-2031",2.841524,"27-2041",2.15522,"27-2011",2.072819,45
"27-2041",.0227273,.0454545,-.0227273,.9129968,4.350161,-3.437164,"Music Directors and Composers","Arts, Design, Entertainment, Sports, and Media",12330,63670,"Bachelors degree","fine arts",.4167756,"education administration and teaching",.195382,"business",.0646831,"27-2042",3.046344,"27-2032",2.15522,"27-2011",1.869321,52
"27-2042",.05,0,.05,5.555555,0,5.555555,"Musicians and Singers","Arts, Design, Entertainment, Sports, and Media",38350,,"No formal education","fine arts",.4883054,"education administration and teaching",.1229969,"business",.0728473,"27-2041",3.046344,"27-2011",2.114006,"27-2032",2.011893,48
"27-3011",.1,.1,0,7.58547,3.525641,4.059829,"Broadcast Announcers and Radio Disc Jockeys","Arts, Design, Entertainment, Sports, and Media",23880,45680,"Bachelors degree","communications",.4361633,"business",.1137508,"fine arts",.0766633,"27-3023",2.388311,"27-2012",1.681206,"27-3031",1.363504,34
"27-3031",.5333334,.4666667,.0666667,33.1096,28.42887,4.680731,"Public Relations Specialists","Arts, Design, Entertainment, Sports, and Media",280590,69780,"Bachelors degree","communications",.3140049,"social sciences",.1435797,"business",.1231826,"11-2032",3.474104,"11-2011",2.354431,"41-3091",2.331939,5
"27-3041",.2666667,.3333333,-.0666667,10.16978,25.54451,-15.37473,"Editors","Arts, Design, Entertainment, Sports, and Media",95480,75260,"Bachelors degree","communications",.2296472,"english language, literature, and composition",.2261485,"fine arts",.0874823,"27-4032",2.453416,"43-9081",2.45171,"27-3023",2.347759,16
"27-3042",.4666667,.3333333,.1333333,29.28088,20.71912,8.561768,"Technical Writers","Arts, Design, Entertainment, Sports, and Media",55530,91670,"Bachelors degree","english language, literature, and composition",.2086911,"business",.10025,"biology and life sciences",.0869765,"27-3041",2.051752,"13-1082",1.967943,"43-9111",1.954079,8
"27-3043",.4356061,.4356061,0,22.54984,25.17743,-2.627583,"Writers and Authors","Arts, Design, Entertainment, Sports, and Media",47800,72270,"Bachelors degree","english language, literature, and composition",.2076487,"communications",.1884452,"business",.086714,"27-3041",2.204189,"27-3023",1.909754,"27-3031",1.687901,9
"27-3091",.2727273,.1818182,.0909091,26.79559,13.20441,13.59118,"Interpreters and Translators","Arts, Design, Entertainment, Sports, and Media",53360,59440,"Bachelors degree","linguistics and foreign languages",.1578191,"business",.1284233,"social sciences",.0908131,"29-1127",1.714406,"25-1124",1.632106,"25-3011",1.468746,16
"27-4011",0,0,0,0,0,0,"Audio and Video Technicians","Arts, Design, Entertainment, Sports, and Media",70080,54830,"Postsecondary nondegree award",,,,,,,"27-4014",2.866931,"27-4012",2.746067,"27-4015",2.438478,100
"27-4012",0,0,0,0,0,0,"Broadcast Technicians","Arts, Design, Entertainment, Sports, and Media",21080,53920,"Associates degree",,,,,,,"27-4011",2.746067,"27-4014",2.61351,"17-3023",2.608462,100
"27-4014",0,0,0,0,0,0,"Sound Engineering Technicians","Arts, Design, Entertainment, Sports, and Media",13050,66430,"Postsecondary nondegree award",,,,,,,"27-4011",2.866931,"27-4012",2.61351,"27-4015",2.023781,100
"27-4021",.1764706,.1764706,0,8.70338,10.04662,-1.343241,"Photographers","Arts, Design, Entertainment, Sports, and Media",51230,42520,"HS diploma or equivalent","fine arts",.2744715,"communications",.1647628,"business",.1228045,"49-9061",1.892539,"27-1013",1.832134,"51-9151",1.806144,24
"27-4031",.0769231,.0769231,0,2.884615,4.807693,-1.923077,"Camera Operators, Television, Video, and Film","Arts, Design, Entertainment, Sports, and Media",24460,68810,"Bachelors degree","communications",.297554,"fine arts",.2742786,"business",.081681,"27-4011",2.318928,"27-4012",2.314841,"19-2099",2.276701,40
"27-4032",0,0,0,0,0,0,"Film and Video Editors","Arts, Design, Entertainment, Sports, and Media",28860,70980,"Bachelors degree","communications",.297554,"fine arts",.2742786,"business",.081681,"27-3041",2.453416,"27-1014",2.247151,"43-9031",1.98317,100
"29-1011",.0909091,.1818182,-.0909091,1.536492,16.64533,-15.10884,"Chiropractors","Healthcare Practitioners and Technical",37630,79000,"Doctoral or professional degree","biology and life sciences",.3525579,"medical and health sciences and services",.1687209,"physical sciences",.0893346,"29-1214",3.419764,"29-1243",3.336056,"29-1242",3.320271,36
"29-1021",.05,.1,-.05,1.082707,9.443609,-8.360903,"Dentists, General","Healthcare Practitioners and Technical",113490,172790,"Doctoral or professional degree","biology and life sciences",.5016053,"medical and health sciences and services",.1262352,"physical sciences",.1037797,"29-1022",3.475494,"29-1024",3.446254,"29-1023",3.180201,48
"29-1022",0,0,0,0,0,0,"Oral and Maxillofacial Surgeons","Healthcare Practitioners and Technical",5330,239200,"Doctoral or professional degree","biology and life sciences",.5016053,"medical and health sciences and services",.1262352,"physical sciences",.1037798,"29-1243",3.824416,"29-1242",3.704858,"29-1024",3.594686,100
"29-1023",.1,.1,0,5.5,4.5,.9999995,"Orthodontists","Healthcare Practitioners and Technical",5150,239200,"Doctoral or professional degree","biology and life sciences",.5016053,"medical and health sciences and services",.1262352,"physical sciences",.1037797,"29-1021",3.180201,"29-1024",3.106554,"29-1022",3.051261,34
"29-1024",0,0,0,0,0,0,"Prosthodontists","Healthcare Practitioners and Technical",760,239200,"Doctoral or professional degree","biology and life sciences",.5016053,"medical and health sciences and services",.1262352,"physical sciences",.1037797,"29-1022",3.594686,"29-1021",3.446254,"29-1023",3.106554,100
"29-1031",.2380952,.2380952,0,9.836115,15.16388,-5.327769,"Dietitians and Nutritionists","Healthcare Practitioners and Technical",76570,73850,"Bachelors degree","interdisciplinary and multi-disciplinary studies (general)",.3006981,"medical and health sciences and services",.2713651,"family and consumer sciences",.0811368,"29-2051",2.910842,"29-1171",2.529376,"29-1215",2.496936,18
"29-1041",0,.1,-.1,0,11.11111,-11.11111,"Optometrists","Healthcare Practitioners and Technical",41890,134830,"Doctoral or professional degree","biology and life sciences",.5413753,"medical and health sciences and services",.1121586,"physical sciences",.0947838,"29-1241",3.31897,"29-1214",2.910856,"29-1243",2.884112,100
"29-1051",.25,.25,0,8.954827,19.6166,-10.66177,"Pharmacists","Healthcare Practitioners and Technical",328870,137480,"Doctoral or professional degree","medical and health sciences and services",.5184064,"biology and life sciences",.2071289,"physical sciences",.0614617,"29-1214",3.401942,"29-2052",3.220601,"29-1171",2.845479,17
"29-1071",.1818182,.1818182,0,8.024973,14.7023,-6.677326,"Physician Assistants","Healthcare Practitioners and Technical",155540,133260,"Masters degree","biology and life sciences",.2974321,"medical and health sciences and services",.277648,"business",.0584941,"29-1214",3.770308,"29-1243",3.397636,"29-1211",3.363657,24
"29-1081",0,0,0,0,0,0,"Podiatrists","Healthcare Practitioners and Technical",9520,152800,"Doctoral or professional degree","biology and life sciences",.4704579,"medical and health sciences and services",.1216689,"physical sciences",.1068086,"29-1242",3.600003,"29-1243",3.359677,"29-1213",2.955395,100
"29-1122",.0277778,.0277778,0,1.255342,1.869658,-.6143161,"Occupational Therapists","Healthcare Practitioners and Technical",152280,98340,"Masters degree","medical and health sciences and services",.5228605,"psychology",.1133363,"biology and life sciences",.05955,"31-2011",2.89585,"31-2012",2.785757,"29-1125",2.703729,51
"29-1123",.0454545,.0454545,0,1.349206,3.650794,-2.301588,"Physical Therapists","Healthcare Practitioners and Technical",248630,101020,"Doctoral or professional degree","medical and health sciences and services",.4423489,"biology and life sciences",.1501896,"physical fitness, parks, recreation, and leisure",.1445205,"31-2021",3.458562,"29-1214",3.269645,"31-2022",3.251029,49
"29-1124",0,0,0,0,0,0,"Radiation Therapists","Healthcare Practitioners and Technical",18700,101990,"Associates degree","medical and health sciences and services",.5035164,"biology and life sciences",.101111,"business",.0739986,"29-2036",3.582928,"29-2031",3.22149,"29-1214",3.206109,100
"29-1125",.1757576,.1272727,.0484849,10.80139,8.572813,2.228575,"Recreational Therapists","Healthcare Practitioners and Technical",15060,60280,"Bachelors degree","medical and health sciences and services",.4380727,"physical fitness, parks, recreation, and leisure",.1026632,"psychology",.0677262,"29-2053",3.074549,"31-2011",3.050975,"31-2021",3.008795,24
"29-1126",.1,.1,0,6.065574,8.934426,-2.868853,"Respiratory Therapists","Healthcare Practitioners and Technical",136420,80450,"Associates degree","medical and health sciences and services",.4922634,"business",.104496,"biology and life sciences",.1034116,"29-1214",3.377121,"29-2043",3.191352,"29-2031",3.183497,34
"29-1127",0,0,0,0,0,0,"Speech-Language Pathologists","Healthcare Practitioners and Technical",178790,95410,"Masters degree","medical and health sciences and services",.6277289,"education administration and teaching",.0614388,"communications",.06046,"31-9099",2.474962,"31-2011",2.463495,"29-1181",2.430624,100
"29-1128",.24,.28,-.04,7.858673,23.95951,-16.10084,"Exercise Physiologists","Healthcare Practitioners and Technical",8110,58160,"Bachelors degree",,,,,,,"39-9031",2.443738,"29-1123",2.424903,"31-2021",2.406842,18
"29-1131",.0625,.0625,0,3.396226,4.296081,-.8998547,"Veterinarians","Healthcare Practitioners and Technical",80630,125510,"Doctoral or professional degree","biology and life sciences",.3986257,"agriculture",.2170495,"medical and health sciences and services",.1346801,"29-2056",3.174639,"31-9096",3.051646,"29-1214",2.614725,44
"29-1141",.0783251,.0969398,-.0186147,3.87265,7.638289,-3.76564,"Registered Nurses","Healthcare Practitioners and Technical",3282010,93600,"Bachelors degree","medical and health sciences and services",.7455733,"business",.0419639,"biology and life sciences",.037477,"29-1214",3.870058,"29-1171",3.573181,"29-2043",3.286243,39
"29-1151",0,0,0,0,0,0,"Nurse Anesthetists","Healthcare Practitioners and Technical",50350,223210,"Masters degree","medical and health sciences and services",.720168,"biology and life sciences",.084614,"business",.0518993,"29-1211",3.635679,"29-2043",3.357394,"29-1214",3.198368,100
"29-1161",.0526316,.1052632,-.0526316,4.336735,8.163265,-3.82653,"Nurse Midwives","Healthcare Practitioners and Technical",8280,128790,"Masters degree",,,,,,,"29-9099",3.634937,"29-1214",3.472105,"29-1171",3.439872,46
"29-1171",.1851852,.2222222,-.037037,6.677944,17.32206,-10.64411,"Nurse Practitioners","Healthcare Practitioners and Technical",307390,129210,"Masters degree","medical and health sciences and services",.7114558,"biology and life sciences",.0716328,"psychology",.0356941,"29-1214",4.010102,"29-1141",3.573181,"29-1215",3.54539,23
"29-1181",0,0,0,0,0,0,"Audiologists","Healthcare Practitioners and Technical",14730,92120,"Doctoral or professional degree","medical and health sciences and services",.6525876,"biology and life sciences",.048484,"education administration and teaching",.047571,"29-2092",3.11742,"29-1214",2.742073,"19-3039",2.617087,100
"29-2031",0,.1,-.1,0,10,-10,"Cardiovascular Technologists and Technicians","Healthcare Practitioners and Technical",61180,67260,"Associates degree","business",.1710081,"medical and health sciences and services",.1328115,"biology and life sciences",.1038278,"29-1212",3.83486,"29-2032",3.588826,"29-2034",3.53072,100
"29-2032",0,0,0,0,0,0,"Diagnostic Medical Sonographers","Healthcare Practitioners and Technical",86460,89340,"Associates degree","medical and health sciences and services",.3135413,"business",.119677,"biology and life sciences",.11213,"29-2031",3.588826,"29-2034",3.347487,"29-1212",3.06687,100
"29-2033",0,.0714286,-.0714286,0,7.692307,-7.692307,"Nuclear Medicine Technologists","Healthcare Practitioners and Technical",16960,97020,"Associates degree","medical and health sciences and services",.265062,"business",.1567801,"biology and life sciences",.0857469,"29-2031",3.095259,"29-2034",3.089024,"29-1124",3.050153,100
"29-2034",0,.0714286,-.0714286,0,7.142857,-7.142857,"Radiologic Technologists and Technicians","Healthcare Practitioners and Technical",223460,77660,"Associates degree","medical and health sciences and services",.3265867,"business",.1283556,"biology and life sciences",.0742127,"29-2031",3.53072,"29-2032",3.347487,"29-2035",3.281935,100
"29-2035",.05,0,.05,5.555555,0,5.555555,"Magnetic Resonance Imaging Technologists","Healthcare Practitioners and Technical",41530,88180,"Associates degree","medical and health sciences and services",.2139414,"business",.1515008,"engineering",.0757321,"29-2034",3.281935,"29-2031",3.169254,"29-2032",2.999661,48
"29-2051",.2,.2,0,10.73986,9.260143,1.479713,"Dietetic Technicians","Healthcare Practitioners and Technical",29950,37040,"Associates degree","medical and health sciences and services",.1674641,"biology and life sciences",.1324761,"interdisciplinary and multi-disciplinary studies (general)",.117823,"29-1031",2.910842,"29-1214",2.298537,"21-1091",2.190086,22
